@relation 'MARSYAS_EMPTYdrum_features.arff-weka.filters.unsupervised.attribute.Remove-R121-124-weka.filters.unsupervised.attribute.Remove-R118,120-weka.filters.unsupervised.attribute.Remove-R115-117-weka.filters.unsupervised.attribute.Remove-R110-112-weka.filters.unsupervised.attribute.Remove-R106-107,109-weka.filters.unsupervised.attribute.Remove-R96-104-weka.filters.unsupervised.attribute.Remove-R90-92-weka.filters.unsupervised.attribute.Remove-R86-89-weka.filters.unsupervised.attribute.Remove-R77-84-weka.filters.unsupervised.attribute.Remove-R37-73-weka.filters.unsupervised.attribute.Remove-R1-4,6-7,9-10,13,15-24,28-32,34-35,37,43'

@attribute Mean_Acc5_Mean_Mem20_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_E_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_F_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_F#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Std_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Std_Mem20_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Mean_Mem20_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Mean_Mem20_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Mean_Mem20_PeakRatio_Chroma_D_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Mean_Mem20_PeakRatio_Minimum_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Std_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Std_Mem20_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Std_Mem20_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Std_Mem20_PeakRatio_Chroma_B_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Std_Mem20_PeakRatio_Chroma_C_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Std_Mem20_PeakRatio_Chroma_F_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute output {0,1,2}

@data
-74.519388,0.428223,0.267421,0.254821,0.046314,0.000176,0.000154,0.000136,0.053868,15.950223,0.256412,0.128575,0.000121,0.648388,0.014235,0.112494,0.149314,0.000345,0.000377,0.000242,0
-72.653459,0.304521,0.062516,-0.106519,0.241043,0.000127,0.00012,0.00011,0.029826,15.578984,0.150023,0.175001,0.000072,0.169032,0.019413,0.123217,0.212624,0.000191,0.000208,0.000182,0
-73.22808,0.907694,0.295727,0.453499,-0.071283,0.000117,0.000116,0.000112,0.030841,14.930915,0.086604,0.491177,0.000061,0.190402,0.018701,0.151801,0.165777,0.000194,0.000222,0.000211,0
-73.515764,0.936605,0.168643,-0.171238,0.034211,0.000092,0.000086,0.000077,0.025416,15.904145,0.087777,0.079889,0.000056,0.260753,0.018532,0.105214,0.143115,0.00018,0.000199,0.00017,0
-74.30691,0.79288,-0.244559,0.016529,-0.091283,0.00017,0.000143,0.000124,0.006699,15.412187,0.114405,0.255466,0.00012,0.632397,0.007648,0.147276,0.143108,0.000255,0.000286,0.000185,0
-75.549022,0.402859,0.549422,0.474611,0.846661,0.000193,0.000163,0.000144,0.047542,14.823879,0.036165,0.554209,0.000141,0.15493,0.011641,0.130261,0.153609,0.000364,0.000401,0.000214,0
-74.16649,0.582496,0.155469,0.323143,-0.149221,0.000155,0.000132,0.000116,0.00917,15.578561,0.304016,0.137089,0.00011,0.733115,0.009032,0.137739,0.145873,0.000257,0.000284,0.000154,0
-76.60038,0.7034,-0.072754,0.268162,0.275043,0.000124,0.000106,0.000094,0.083277,15.524362,0.423318,0.059491,0.000096,1.282114,0.017652,0.185523,0.212247,0.000335,0.000364,0.000183,0
-70.994557,0.830802,0.385102,0.199313,0.4396,0.000145,0.000134,0.000118,0.017703,14.268937,0.070432,0.050353,0.000082,0.39906,0.014026,0.122767,0.154338,0.000193,0.000202,0.000165,0
-73.605396,0.673149,0.232076,0.508798,0.224796,0.000134,0.000117,0.000098,0.076154,15.335709,0.078081,0.31574,0.000088,0.727376,0.016714,0.121649,0.133565,0.000227,0.000242,0.000137,0
-72.750922,0.928888,0.679105,0.343922,-0.142267,0.000137,0.000136,0.000128,0.033058,15.409927,0.172152,0.252863,0.00007,0.257194,0.020931,0.140538,0.147198,0.000223,0.000257,0.000237,0
-73.548814,0.710633,0.155546,0.437617,0.153669,0.000117,0.000116,0.000112,0.033473,15.103772,0.05031,0.215372,0.000062,0.220186,0.019026,0.16797,0.123234,0.000198,0.000227,0.000214,0
-75.023171,0.546009,0.572201,0.147917,0.257381,0.000095,0.000088,0.00008,0.033806,16.217445,0.227613,0.179546,0.000058,0.174939,0.020413,0.163704,0.161577,0.000167,0.000178,0.000133,0
-76.190439,1.079655,0.130145,0.194949,0.016363,0.00016,0.000134,0.000119,0.088282,15.274598,0.230351,0.212323,0.00012,0.223587,0.009556,0.141513,0.127978,0.00034,0.000379,0.000216,0
-77.572975,0.296168,0.416605,0.004173,0.110343,0.000219,0.000189,0.000169,0.119902,14.671928,0.089576,0.17566,0.000152,0.099436,0.009855,0.235052,0.208843,0.000345,0.000388,0.000252,0
-72.664154,0.333054,0.635417,0.21617,-0.012755,0.000183,0.000155,0.000139,0.028573,13.636163,0.158884,0.119735,0.000131,0.488897,0.010709,0.178825,0.146166,0.000318,0.000357,0.000217,0
-73.635322,0.600482,0.59415,0.340199,0.38187,0.000155,0.000138,0.000115,0.034969,15.095835,0.313037,0.197818,0.000094,1.096344,0.015623,0.184107,0.186588,0.000241,0.000258,0.000168,0
